KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 74x30 mixed zoom-layer | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=16.79 int_p99=16.79 int_max=16.79 draw_p50=0.6 draw_p95=1.0 draw_p99=1.2 model_p50=0.0 model_p95=0.1 dropped=0 drop_pct=0.0 cache_hit_pct=99.09
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 200x50 mixed no-text | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=16.79 int_p99=16.79 int_max=16.79 draw_p50=0.0 draw_p95=0.1 draw_p99=0.3 model_p50=0.0 model_p95=0.1 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 200x50 mixed shape-every-frame | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=33.4 int_p99=33.5 int_max=33.5 draw_p50=15.8 draw_p95=19.29 draw_p99=21.2 model_p50=0.0 model_p95=0.1 dropped=57 drop_pct=15.96 cache_hit_pct=-1.0
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 200x50 mixed run-cache | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=16.79 int_p99=16.79 int_max=16.79 draw_p50=0.8 draw_p95=1.2 draw_p99=1.4 model_p50=0.0 model_p95=0.1 dropped=0 drop_pct=0.0 cache_hit_pct=99.39
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 200x50 mixed glyph-cache | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=16.79 int_p99=16.79 int_max=16.79 draw_p50=5.4 draw_p95=5.9 draw_p99=6.1 model_p50=0.0 model_p95=0.1 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 200x50 mixed bitmap-dirty | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=16.79 int_p99=16.79 int_max=16.8 draw_p50=0.6 draw_p95=1.2 draw_p99=1.4 model_p50=0.0 model_p95=0.1 dropped=0 drop_pct=0.0 cache_hit_pct=100.0
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 200x50 scroll run-cache | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=16.79 int_p99=16.79 int_max=16.79 draw_p50=0.7 draw_p95=1.0 draw_p99=1.1 model_p50=0.0 model_p95=0.1 dropped=0 drop_pct=0.0 cache_hit_pct=99.88
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 200x50 worst run-cache | frames=300 fps=7.49 int_p05=116.7 int_p50=133.39 int_p95=166.7 int_p99=266.79 int_max=316.9 draw_p50=113.0 draw_p95=126.3 draw_p99=153.2 model_p50=0.4 model_p95=0.5 dropped=2121 drop_pct=87.6 cache_hit_pct=0.03
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 200x50 worst glyph-cache | frames=300 fps=14.99 int_p05=50.1 int_p50=66.69 int_p95=83.4 int_p99=100.2 int_max=150.2 draw_p50=41.5 draw_p95=47.7 draw_p99=66.1 model_p50=0.4 model_p95=0.6 dropped=932 drop_pct=75.64 cache_hit_pct=-1.0
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 200x50 mixed zoom-redraw | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=33.4 int_p99=33.4 int_max=33.5 draw_p50=11.6 draw_p95=14.5 draw_p99=15.4 model_p50=0.0 model_p95=0.1 dropped=28 drop_pct=8.53 cache_hit_pct=56.1
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 200x50 mixed zoom-layer | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=16.79 int_p99=16.79 int_max=16.79 draw_p50=0.8 draw_p95=1.2 draw_p99=1.7 model_p50=0.0 model_p95=0.1 dropped=0 drop_pct=0.0 cache_hit_pct=99.34
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 74x30 mixed glyph-atlas | frames=0 fps=0.0 int_p05=0.0 int_p50=0.0 int_p95=0.0 int_p99=0.0 int_max=0.0 draw_p50=0.0 draw_p95=0.0 draw_p99=0.0 model_p50=0.0 model_p95=0.0 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 74x30 worst glyph-atlas | frames=0 fps=0.0 int_p05=0.0 int_p50=0.0 int_p95=0.0 int_p99=0.0 int_max=0.0 draw_p50=0.0 draw_p95=0.0 draw_p99=0.0 model_p50=0.0 model_p95=0.0 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
